                IDF1   IDP   IDR  Rcll  Prcn   GT  MT  PT  ML    FP     FN  IDs    FM  MOTA  MOTP IDt IDa IDm
MOT17-02-DPM   19.9% 73.6% 11.5% 14.8% 94.4%   62   2  13  47   162  15833   35   105 13.7% 0.230  10  18   1
MOT17-02-FRCNN 38.2% 66.0% 26.8% 33.6% 82.6%   62   7  23  32  1317  12341   59    94 26.2% 0.133  22  40   7
MOT17-02-SDP   43.2% 57.9% 34.4% 47.3% 79.5%   62   9  36  17  2265   9794  169   672 34.2% 0.186  76  65  14
MOT17-04-DPM   41.3% 80.8% 27.7% 33.1% 96.5%   83   5  40  38   570  31820   82   372 31.7% 0.196  23  58   5
MOT17-04-FRCNN 61.0% 82.6% 48.4% 54.8% 93.4%   83  17  42  24  1833  21516   41    88 50.8% 0.108   6  38   3
MOT17-04-SDP   75.0% 86.0% 66.5% 75.5% 97.6%   83  42  31  10   873  11637   69   725 73.5% 0.134  45  28   9
MOT17-05-DPM   33.5% 76.3% 21.5% 26.9% 95.6%  133   1  45  87    85   5057   40    78 25.1% 0.219  28  21  11
MOT17-05-FRCNN 55.1% 81.9% 41.5% 49.8% 98.2%  133  15  68  50    64   3472   47    79 48.2% 0.181  40  23  18
MOT17-05-SDP   63.5% 81.5% 52.0% 61.8% 96.9%  133  27  76  30   138   2641  100   212 58.4% 0.157  78  46  27
MOT17-09-DPM   43.3% 63.1% 33.0% 47.8% 91.4%   26   2  18   6   239   2781   39   119 42.6% 0.249  23  16   6
MOT17-09-FRCNN 56.8% 79.6% 44.1% 55.1% 99.3%   26   6  17   3    20   2391   17    46 54.4% 0.117  11  10   4
MOT17-09-SDP   59.7% 75.2% 49.5% 64.1% 97.3%   26   8  17   1    96   1914   21   116 61.9% 0.134  19   8   6
MOT17-10-DPM   31.7% 70.5% 20.5% 28.4% 97.9%   57   4  14  39    78   9191   49   191 27.4% 0.232  17  34   5
MOT17-10-FRCNN 43.5% 54.0% 36.4% 57.7% 85.7%   57  14  35   8  1241   5429  220   283 46.3% 0.164 113 103  15
MOT17-10-SDP   55.1% 63.5% 48.6% 72.2% 94.2%   57  27  27   3   566   3567  232   352 66.0% 0.191 131  83  11
MOT17-11-DPM   54.4% 82.3% 40.7% 47.5% 96.2%   75   6  27  42   177   4954   35    66 45.3% 0.203  11  21   6
MOT17-11-FRCNN 59.9% 79.8% 48.0% 58.8% 97.8%   75  17  33  25   125   3886   41    52 57.1% 0.101  21  28  13
MOT17-11-SDP   63.6% 73.3% 56.2% 73.0% 95.1%   75  26  35  14   358   2552   74   194 68.4% 0.135  45  38  15
MOT17-13-DPM   16.2% 84.1%  9.0% 10.3% 96.1%  110   2  16  92    48  10448   24    51  9.6% 0.248   6  22   5
MOT17-13-FRCNN 56.2% 74.6% 45.0% 55.0% 91.2%  110  28  52  30   619   5234  196   304 48.0% 0.181  99 110  27
MOT17-13-SDP   61.5% 81.7% 49.3% 55.7% 92.2%  110  44  22  44   548   5158  109   210 50.1% 0.198  58  50  20
OVERALL        52.7% 76.6% 40.2% 49.1% 93.5% 1638 309 687 642 11422 171616 1699  4409 45.2% 0.157 882 860 228
