                IDF1   IDP   IDR  Rcll  Prcn   GT  MT  PT  ML    FP     FN  IDs    FM  MOTA  MOTP IDt IDa IDm
MOT17-02-DPM   20.5% 74.5% 11.9% 15.0% 93.9%   62   2  14  46   181  15790   39   108 13.8% 0.234  24  15   8
MOT17-02-FRCNN 38.0% 65.5% 26.8% 33.8% 82.6%   62   7  23  32  1323  12300   48    98 26.4% 0.133  34  30  16
MOT17-02-SDP   44.7% 59.5% 35.8% 47.6% 79.1%   62   8  37  17  2336   9744  209   691 33.9% 0.185 134  50  19
MOT17-04-DPM   41.2% 79.8% 27.7% 33.4% 96.0%   83   5  40  38   658  31688  106   403 31.8% 0.195  55  50  13
MOT17-04-FRCNN 61.3% 82.9% 48.6% 54.8% 93.4%   83  17  43  23  1832  21506   43    88 50.8% 0.108  14  37   8
MOT17-04-SDP   73.8% 84.6% 65.5% 75.6% 97.6%   83  44  28  11   871  11619   82   720 73.6% 0.131  40  31  13
MOT17-05-DPM   36.6% 81.6% 23.6% 27.6% 95.5%  133   2  45  86    89   5010   25    86 25.9% 0.220  36   9  22
MOT17-05-FRCNN 56.8% 84.1% 42.8% 50.0% 98.2%  133  14  69  50    62   3459   29    72 48.7% 0.180  43  12  28
MOT17-05-SDP   62.9% 80.2% 51.7% 62.4% 96.8%  133  28  79  26   141   2599   71   219 59.4% 0.158  78  32  48
MOT17-09-DPM   50.3% 72.6% 38.5% 48.3% 91.0%   26   4  16   6   255   2754   28   122 43.0% 0.244  20  10   6
MOT17-09-FRCNN 54.8% 76.7% 42.6% 55.2% 99.4%   26   7  16   3    19   2384    8    38 54.7% 0.108  10   3   5
MOT17-09-SDP   55.7% 70.0% 46.3% 64.4% 97.3%   26   8  16   2    94   1896   18   123 62.3% 0.135  21   4   8
MOT17-10-DPM   36.8% 80.6% 23.8% 28.9% 97.9%   57   5  14  38    81   9125   22   209 28.1% 0.232  14  13   7
MOT17-10-FRCNN 52.7% 65.0% 44.3% 58.3% 85.4%   57  14  35   8  1276   5350  151   291 47.2% 0.163  73  54  18
MOT17-10-SDP   64.9% 74.3% 57.7% 72.7% 93.7%   57  29  25   3   629   3501  148   358 66.7% 0.190  79  44  18
MOT17-11-DPM   50.9% 76.1% 38.3% 48.0% 95.4%   75   7  26  42   217   4905   64    70 45.0% 0.204  25  15  15
MOT17-11-FRCNN 61.2% 81.4% 49.0% 58.9% 97.9%   75  16  33  26   121   3876   30    58 57.3% 0.100  24  17  16
MOT17-11-SDP   66.1% 76.0% 58.4% 73.3% 95.3%   75  27  35  13   342   2519   48   203 69.2% 0.135  43  18  21
MOT17-13-DPM   16.9% 84.3%  9.4% 10.7% 96.1%  110   2  17  91    51  10394   11    56 10.2% 0.247   6   9   5
MOT17-13-FRCNN 61.1% 80.0% 49.4% 56.0% 90.5%  110  29  54  27   681   5127   86   309 49.4% 0.180  67  31  33
MOT17-13-SDP   60.0% 78.9% 48.5% 56.1% 91.3%  110  46  20  44   619   5108  124   214 49.7% 0.197  76  26  35
OVERALL        53.8% 77.8% 41.2% 49.3% 93.3% 1638 321 685 632 11878 170654 1390  4536 45.4% 0.156 916 510 362
