                IDF1   IDP   IDR  Rcll  Prcn   GT  MT  PT  ML    FP     FN  IDs    FM  MOTA  MOTP IDt IDa IDm
MOT17-02-DPM   19.7% 72.0% 11.4% 15.0% 94.6%   62   2  14  46   158  15798   36   110 13.9% 0.231  19  14   4
MOT17-02-FRCNN 38.7% 66.9% 27.3% 33.7% 82.6%   62   7  23  32  1315  12317   51    96 26.4% 0.133  31  28  11
MOT17-02-SDP   43.1% 57.5% 34.4% 47.5% 79.2%   62   8  37  17  2310   9764  200   693 33.9% 0.185 130  44  20
MOT17-04-DPM   40.4% 78.9% 27.2% 33.1% 96.2%   83   5  40  38   623  31795  131   411 31.6% 0.195  55  55  14
MOT17-04-FRCNN 61.3% 82.9% 48.6% 54.8% 93.4%   83  17  43  23  1832  21508   43    87 50.8% 0.108  14  37   8
MOT17-04-SDP   75.6% 86.7% 67.1% 75.5% 97.7%   83  44  28  11   864  11650   92   721 73.5% 0.131  40  35  11
MOT17-05-DPM   37.2% 84.1% 23.8% 27.2% 96.1%  133   2  44  87    77   5034   23    85 25.8% 0.218  25  12  16
MOT17-05-FRCNN 56.8% 84.2% 42.8% 49.9% 98.3%  133  14  69  50    59   3462   30    72 48.7% 0.180  44  12  28
MOT17-05-SDP   62.9% 80.6% 51.5% 62.0% 97.0%  133  29  76  28   131   2626   78   221 59.0% 0.157  80  35  47
MOT17-09-DPM   46.2% 67.1% 35.2% 47.8% 91.0%   26   4  16   6   252   2781   35   111 42.4% 0.243  27  12   8
MOT17-09-FRCNN 53.5% 74.8% 41.6% 55.2% 99.4%   26   7  16   3    18   2384   14    39 54.6% 0.108  16   3   6
MOT17-09-SDP   56.5% 71.0% 46.9% 64.3% 97.4%   26   9  15   2    93   1901   20   124 62.2% 0.136  22   4   8
MOT17-10-DPM   37.0% 81.2% 24.0% 28.9% 97.9%   57   4  15  38    79   9130   27   205 28.1% 0.231  12  16   8
MOT17-10-FRCNN 52.9% 65.4% 44.4% 58.2% 85.8%   57  14  36   7  1234   5363  146   294 47.5% 0.163  74  53  18
MOT17-10-SDP   66.9% 76.9% 59.2% 72.5% 94.2%   57  28  26   3   576   3529  155   363 66.8% 0.191  77  48  15
MOT17-11-DPM   53.2% 79.8% 39.9% 47.8% 95.5%   75   6  27  42   212   4927   72    69 44.8% 0.203  22  18  13
MOT17-11-FRCNN 59.1% 78.6% 47.3% 58.9% 97.9%   75  17  32  26   120   3877   31    53 57.3% 0.100  22  16  16
MOT17-11-SDP   68.1% 78.4% 60.2% 73.1% 95.3%   75  26  35  14   339   2538   48   204 69.0% 0.134  41  17  19
MOT17-13-DPM   17.5% 87.7%  9.7% 10.6% 96.0%  110   2  17  91    51  10405   13    61 10.1% 0.247   3   9   3
MOT17-13-FRCNN 62.3% 82.0% 50.2% 55.8% 91.1%  110  29  54  27   635   5146   79   303 49.7% 0.180  67  30  34
MOT17-13-SDP   62.2% 82.5% 50.0% 55.7% 92.1%  110  45  20  45   559   5153  114   228 50.0% 0.196  53  32  28
OVERALL        54.2% 78.6% 41.4% 49.2% 93.5% 1638 319 683 636 11537 171088 1438  4550 45.4% 0.156 874 530 335
